ID,Tournament,Date,Home Team,Away Team,Home Goals,Away Goals,Home Stadium or Not
3541,Friendly,1967-10-29,Poland,Romania,0,0,1
3542,Friendly,1967-11-01,Netherlands,Yugoslavia,1,2,1
3543,Vietnam Independence Cup,1967-11-05,Australia,New Zealand,5,3,0
3544,Vietnam Independence Cup,1967-11-05,Hong Kong,South Korea,0,1,0
3545,Vietnam Independence Cup,1967-11-07,South Korea,Thailand,3,1,0
3546,Vietnam Independence Cup,1967-11-07,Vietnam Republic,Australia,0,1,1
3547,Friendly,1967-11-08,Chile,Argentina,3,1,1
3548,UEFA Euro qualification,1967-11-08,Switzerland,Cyprus,5,0,1
3549,Vietnam Independence Cup,1967-11-11,Australia,Singapore,5,1,0
3550,Vietnam Independence Cup,1967-11-11,South Korea,Malaysia,2,1,0
3551,Vietnam Independence Cup,1967-11-12,Australia,Malaysia,1,0,0
3552,UEFA Euro qualification,1967-11-12,Portugal,Norway,2,1,1
3553,Vietnam Independence Cup,1967-11-12,Vietnam Republic,South Korea,0,3,1
3554,Vietnam Independence Cup,1967-11-14,Australia,South Korea,3,2,0
3555,UEFA Euro qualification,1967-11-18,Switzerland,Italy,2,2,1
3556,UEFA Euro qualification,1967-11-22,Belgium,Luxembourg,3,0,1
3557,UEFA Euro qualification,1967-11-22,England,Northern Ireland,2,0,1
3558,Friendly,1967-11-22,Romania,Germany,1,0,1
3559,UEFA Euro qualification,1967-11-22,Scotland,Wales,3,2,1
3560,African Cup of Nations qualification,1967-11-22,Senegal,Guinea,2,1,1
3561,UEFA Euro qualification,1967-11-26,Bulgaria,Portugal,1,0,1
3562,Friendly,1967-11-26,Iran,Turkey,0,1,0
3563,Friendly,1967-11-29,Netherlands,Russia,3,1,1
3564,Friendly,1967-12-06,England,Russia,2,2,1
3565,Friendly,1967-12-06,Mexico,Hungary,2,1,1
3566,Friendly,1967-12-08,Mexico,Hungary,0,2,1
3567,Friendly,1967-12-10,Saudi Arabia,Tunisia,4,0,1
3568,UEFA Euro qualification,1967-12-17,Albania,Germany,0,0,1
3569,UEFA Euro qualification,1967-12-17,Portugal,Bulgaria,0,0,1
3570,UEFA Euro qualification,1967-12-23,France,Luxembourg,3,1,1
3571,UEFA Euro qualification,1967-12-23,Italy,Switzerland,4,0,1
3572,Friendly,1967-12-23,Nigeria,Ghana,2,2,1
3573,Friendly,1968-01-10,Israel,Belgium,0,2,1
3574,African Cup of Nations,1968-01-12,Ghana,Senegal,2,2,0
3575,African Cup of Nations,1968-01-14,Congo,Senegal,1,2,0
3576,African Cup of Nations,1968-01-14,DR Congo,Ghana,1,2,0
3577,African Cup of Nations,1968-01-16,Congo,Ghana,1,3,0
3578,African Cup of Nations,1968-01-16,DR Congo,Senegal,2,1,0
3579,African Cup of Nations,1968-01-19,Ghana,Ivory Coast,4,3,0
3580,African Cup of Nations,1968-01-21,DR Congo,Ghana,1,0,0
3581,Friendly,1968-02-14,Israel,Switzerland,2,1,1
3582,UEFA Euro qualification,1968-02-17,Cyprus,Switzerland,2,1,1
3583,UEFA Euro qualification,1968-02-24,Scotland,England,1,1,1
3584,Friendly,1968-02-28,Spain,Sweden,3,1,1
3585,UEFA Euro qualification,1968-02-28,Wales,Northern Ireland,2,0,1
3586,Friendly,1968-03-03,Mexico,Russia,0,0,1
3587,Friendly,1968-03-06,Belgium,Germany,1,3,1
3588,Friendly,1968-03-07,Mexico,Russia,1,1,1
3589,Friendly,1968-03-10,Mexico,Russia,0,0,1
3590,Friendly,1968-03-13,Turkey,Tunisia,0,0,1
3591,Friendly,1968-03-17,Morocco,Algeria,0,0,1
3592,Friendly,1968-03-26,Mexico,Japan,4,0,1
3593,Friendly,1968-03-30,Australia,Japan,2,2,1
3594,Friendly,1968-03-31,Australia,Japan,3,1,1
3595,UEFA Euro qualification,1968-04-03,England,Spain,1,0,1
3596,Friendly,1968-04-04,Australia,Japan,1,3,1
3597,UEFA Euro qualification,1968-04-06,France,Yugoslavia,1,1,1
3598,Friendly,1968-04-07,Netherlands,Belgium,1,2,1
3599,Friendly,1968-04-17,Switzerland,Germany,0,0,1
3600,Friendly,1968-04-24,Poland,Turkey,8,0,1
3601,Friendly,1968-04-24,Russia,Belgium,1,0,1
3602,UEFA Euro qualification,1968-04-24,Yugoslavia,France,5,1,1
3603,Friendly,1968-05-01,Poland,Netherlands,0,0,1
3604,Friendly,1968-05-02,Sweden,Spain,1,1,1
3605,UEFA Euro qualification,1968-05-08,Spain,England,1,2,1
3606,Friendly,1968-05-08,Wales,Germany,1,1,1
3607,AFC Asian Cup,1968-05-10,Iran,Hong Kong,2,0,1
3608,AFC Asian Cup,1968-05-13,Iran,Taiwan,4,0,1
3609,Friendly,1968-05-15,Republic of Ireland,Poland,2,2,1
3610,Friendly,1968-05-15,Paraguay,Argentina,2,0,1
3611,AFC Asian Cup,1968-05-16,Iran,Myanmar,3,1,1
3612,Friendly,1968-05-19,Ghana,Ivory Coast,2,1,1
3613,AFC Asian Cup,1968-05-19,Iran,Israel,2,1,1
3614,Friendly,1968-05-21,Mexico,Uruguay,3,3,1
3615,Friendly,1968-05-22,England,Sweden,3,1,1
3616,Friendly,1968-05-28,Mexico,Uruguay,2,2,1
3617,Friendly,1968-05-30,Netherlands,Scotland,0,0,1
3618,Friendly,1968-06-01,Germany,England,1,0,1
3619,Copa Artigas,1968-06-02,Paraguay,Uruguay,0,0,1
3620,Nordic Championship,1968-06-04,Finland,Denmark,1,3,1
3621,Copa Lipton,1968-06-05,Argentina,Uruguay,2,0,1
3622,UEFA Euro,1968-06-05,England,Yugoslavia,0,1,0
3623,Friendly,1968-06-05,Romania,Netherlands,0,0,1
3624,UEFA Euro,1968-06-08,England,Russia,2,0,0
3625,Copa Rio Branco,1968-06-09,Brazil,Uruguay,2,0,1
3626,Friendly,1968-06-09,Norway,Poland,1,6,1
3627,Copa Rio Branco,1968-06-12,Brazil,Uruguay,4,0,1
3628,Friendly,1968-06-16,Germany,Brazil,2,1,1
3629,FIFA World Cup qualification,1968-06-19,Finland,Belgium,1,2,1
3630,Friendly,1968-06-20,Poland,Brazil,3,6,1
3631,Copa Newton,1968-06-20,Uruguay,Argentina,2,1,1
3632,Friendly,1968-06-23,Czechoslovakia,Brazil,3,2,1
3633,Nordic Championship,1968-06-23,Denmark,Norway,5,1,1
3634,Friendly,1968-06-25,Yugoslavia,Brazil,0,2,1
3635,Nordic Championship,1968-06-27,Sweden,Denmark,2,1,1
3636,Friendly,1968-06-30,Portugal,Brazil,0,2,0
3637,Friendly,1968-07-07,Mexico,Brazil,0,2,1
3638,Friendly,1968-07-10,Mexico,Brazil,2,1,1
3639,Friendly,1968-07-14,Peru,Brazil,3,4,1
3640,Friendly,1968-07-17,Peru,Brazil,0,4,1
3641,Copa Oswaldo Cruz,1968-07-25,Paraguay,Brazil,0,4,1
3642,Copa Oswaldo Cruz,1968-07-28,Paraguay,Brazil,1,0,1
3643,Friendly,1968-08-07,Brazil,Argentina,4,1,1
3644,Merdeka Tournament,1968-08-10,South Korea,Western Australia,0,3,0
3645,Friendly,1968-08-11,Brazil,Argentina,3,2,1
3646,Merdeka Tournament,1968-08-12,South Korea,Singapore,3,2,0
3647,Merdeka Tournament,1968-08-14,South Korea,Taiwan,2,1,0
3648,Merdeka Tournament,1968-08-17,Indonesia,South Korea,4,2,0
3649,Merdeka Tournament,1968-08-21,South Korea,Thailand,2,1,0
3650,Merdeka Tournament,1968-08-24,India,South Korea,0,1,0
3651,Friendly,1968-08-27,Singapore,South Korea,4,3,1
3652,Friendly,1968-08-29,Peru,Argentina,2,2,1
3653,Friendly,1968-09-01,Peru,Argentina,1,1,1
3654,FIFA World Cup qualification,1968-09-04,Netherlands,Luxembourg,2,0,1
3655,Friendly,1968-09-11,El Salvador,Costa Rica,1,1,1
3656,Friendly,1968-09-15,United States,Israel,3,3,1
3657,Friendly,1968-09-22,Ghana,Benin,3,0,1
3658,Friendly,1968-09-22,Switzerland,Austria,1,0,1
3659,FIFA World Cup qualification,1968-09-25,Denmark,Czechoslovakia,0,3,1
3660,Friendly,1968-09-25,France,Germany,1,1,1
3661,Friendly,1968-09-25,United States,Israel,0,4,1
3662,Friendly,1968-09-29,Mexico,Ethiopia,3,0,1
3663,Friendly,1968-10-04,Cura̤ao,Costa Rica,1,1,1
3664,FIFA World Cup qualification,1968-10-06,Canada,Bermuda,4,0,1
3665,FIFA World Cup qualification,1968-10-09,Belgium,Finland,6,1,1
3666,FIFA World Cup qualification,1968-10-12,Switzerland,Greece,1,0,1
3667,FIFA World Cup qualification,1968-10-13,Austria,Germany,0,2,1
3668,FIFA World Cup qualification,1968-10-13,Canada,United States,4,2,1
3669,FIFA World Cup qualification,1968-10-16,Belgium,Yugoslavia,3,0,1
3670,Friendly,1968-10-16,Colombia,Mexico,0,1,1
3671,Friendly,1968-10-16,Denmark,Scotland,0,1,1
3672,Friendly,1968-10-17,France,Spain,1,3,1
3673,FIFA World Cup qualification,1968-10-20,Bermuda,Canada,0,0,1
3674,FIFA World Cup qualification,1968-10-20,Czechoslovakia,Denmark,1,0,1
3675,Friendly,1968-10-20,Haiti,United States,3,6,1
3676,Friendly,1968-10-20,Peru,Mexico,3,3,1
3677,Friendly,1968-10-20,Poland,German DR,1,1,1
3678,Friendly,1968-10-21,Haiti,United States,5,2,1
3679,Friendly,1968-10-23,Chile,Mexico,3,1,1
3680,Friendly,1968-10-23,Haiti,United States,1,0,1
3681,FIFA World Cup qualification,1968-10-23,Wales,Italy,0,1,1
3682,Friendly,1968-10-26,Uruguay,Mexico,0,2,1
3683,FIFA World Cup qualification,1968-10-27,Bulgaria,Netherlands,2,0,1
3684,FIFA World Cup qualification,1968-10-27,Portugal,Romania,3,0,1
3685,FIFA World Cup qualification,1968-10-27,Yugoslavia,Spain,0,0,1
3686,Friendly,1968-10-30,Poland,Republic of Ireland,1,0,1
3687,Friendly,1968-10-31,Brazil,Mexico,1,2,1
3688,FIFA World Cup qualification,1968-11-03,United States,Canada,1,0,1
3689,Friendly,1968-11-03,Brazil,Mexico,2,1,1
3690,FIFA World Cup qualification,1968-11-03,Morocco,Senegal,1,0,1
3691,FIFA World Cup qualification,1968-11-03,United States,Bermuda,6,2,1
3692,FIFA World Cup qualification,1968-11-06,France,Norway,0,1,1
3693,Friendly,1968-11-06,Romania,England,0,0,1
3694,FIFA World Cup qualification,1968-11-11,Bermuda,United States,0,2,1
3695,Friendly,1968-11-14,Costa Rica,El Salvador,3,0,1
3696,FIFA World Cup qualification,1968-11-17,Algeria,Tunisia,1,2,1
3697,Friendly,1968-11-20,Denmark,Luxembourg,5,1,1
3698,FIFA World Cup qualification,1968-11-23,Cyprus,Germany,0,1,1
3699,FIFA World Cup qualification,1968-11-23,Romania,Switzerland,2,0,1
3700,Friendly,1968-11-24,DR Congo,Tunisia,1,0,1
3701,Copa Carlos Dittborn,1968-11-27,Argentina,Chile,4,0,1
3702,FIFA World Cup qualification,1968-11-27,Costa Rica,Jamaica,3,0,1
3703,Friendly,1968-12-01,Cameroon,Tunisia,4,2,1
3704,FIFA World Cup qualification,1968-12-01,Costa Rica,Jamaica,3,1,1
3705,Friendly,1968-12-01,Ghana,Senegal,2,0,1
3706,Copa Carlos Dittborn,1968-12-04,Chile,Argentina,2,1,1
3707,Friendly,1968-12-04,Republic of Ireland,Denmark,1,1,1
3708,FIFA World Cup qualification,1968-12-07,Nigeria,Cameroon,1,1,1
3709,Friendly,1968-12-11,England,Bulgaria,1,1,1
3710,FIFA World Cup qualification,1968-12-11,Greece,Portugal,4,2,1
3711,FIFA World Cup qualification,1968-12-11,Spain,Belgium,1,1,1
3712,Friendly,1968-12-14,Brazil,Germany,2,2,1
3713,Friendly,1968-12-17,Argentina,Poland,1,0,1
3714,Friendly,1968-12-17,Brazil,Yugoslavia,3,3,1
3715,Friendly,1968-12-18,Chile,Germany,2,1,1
3716,Friendly,1968-12-19,Brazil,Yugoslavia,3,2,1
3717,Friendly,1968-12-22,Argentina,Yugoslavia,1,1,1
3718,FIFA World Cup qualification,1968-12-22,Cameroon,Nigeria,2,3,1
3719,FIFA World Cup qualification,1968-12-22,Honduras,Costa Rica,1,0,1
3720,Friendly,1968-12-22,Mexico,Germany,0,0,1
3721,FIFA World Cup qualification,1968-12-29,Costa Rica,Honduras,1,1,1
3722,FIFA World Cup qualification,1968-12-29,Tunisia,Algeria,0,0,1
3723,Friendly,1969-01-01,Mexico,Italy,2,3,1
3724,Friendly,1969-01-05,Mexico,Italy,1,1,1
3725,FIFA World Cup qualification,1969-01-05,Senegal,Morocco,2,1,1
3726,Friendly,1969-01-12,Bermuda,Denmark,1,5,1
3727,Friendly,1969-01-15,England,Romania,1,1,1
3728,Friendly,1969-01-15,Suriname,Denmark,2,1,1
3729,Friendly,1969-01-17,Saudi Arabia,Turkey,1,2,1
3730,Friendly,1969-01-22,Congo,Senegal,1,0,1
3731,Friendly,1969-01-22,Mexico,Denmark,3,0,1
3732,Friendly,1969-01-24,Senegal,Cameroon,3,2,1
3733,Friendly,1969-01-26,DR Congo,Senegal,4,0,1
3734,Friendly,1969-01-30,DR Congo,Cameroon,2,1,1
3735,African Cup of Nations qualification,1969-02-02,Uganda,Cameroon,2,1,1
3736,African Cup of Nations qualification,1969-02-02,Cameroon,Uganda,2,0,1
3737,Friendly,1969-02-04,Mexico,Colombia,1,0,1
3738,Friendly,1969-02-09,Morocco,Hungary,1,4,1
3739,Friendly,1969-02-12,France,Hungary,2,2,1
3740,FIFA World Cup qualification,1969-02-13,Morocco,Senegal,2,0,0
3741,FIFA World Cup qualification,1969-02-23,Belgium,Spain,2,1,1
3742,Friendly,1969-03-07,Iran,Iraq,2,1,1
3743,African Cup of Nations qualification,1969-03-09,Algeria,Morocco,2,0,1
3744,Friendly,1969-03-12,England,France,5,0,1
3745,Friendly,1969-03-12,Iran,Pakistan,9,1,1
3746,Friendly,1969-03-19,Argentina,Paraguay,1,1,1
3747,African Cup of Nations qualification,1969-03-22,Morocco,Algeria,2,0,1
3748,Friendly,1969-03-26,Germany,Wales,1,1,1
3749,FIFA World Cup qualification,1969-03-26,Netherlands,Luxembourg,4,0,1
3750,Friendly,1969-03-26,Spain,Switzerland,1,0,1
3751,Friendly,1969-04-06,Portugal,Mexico,0,0,1
3752,Friendly,1969-04-07,Brazil,Peru,2,1,1
3753,Friendly,1969-04-09,Brazil,Peru,3,2,1
3754,Friendly,1969-04-09,Paraguay,Argentina,0,0,1
3755,Friendly,1969-04-10,Luxembourg,Mexico,2,1,1
3756,Friendly,1969-04-16,Belgium,Mexico,2,0,1
3757,FIFA World Cup qualification,1969-04-16,German DR,Wales,2,1,1
3758,Friendly,1969-04-16,Netherlands,Czechoslovakia,2,0,1
3759,FIFA World Cup qualification,1969-04-16,Portugal,Switzerland,0,2,1
3760,FIFA World Cup qualification,1969-04-16,Scotland,Germany,1,1,1
3761,CONCACAF Championship qualification,1969-04-20,Haiti,United States,2,0,1
3762,FIFA World Cup qualification,1969-04-20,Poland,Luxembourg,8,1,1
3763,Friendly,1969-04-23,Spain,Mexico,0,0,1
3764,FIFA World Cup qualification,1969-04-27,Tunisia,Morocco,0,0,1
3765,Friendly,1969-04-30,France,Romania,1,0,1
3766,FIFA World Cup qualification,1969-04-30,Spain,Yugoslavia,2,1,1
3767,Friendly,1969-04-30,Turkey,Poland,1,3,1
3768,Friendly,1969-05-01,Sweden,Mexico,1,0,1
3769,British Championship,1969-05-03,Northern Ireland,England,1,3,1
3770,British Championship,1969-05-03,Wales,Scotland,3,5,1
3771,FIFA World Cup qualification,1969-05-04,Portugal,Greece,2,2,1
3772,Friendly,1969-05-06,Denmark,Mexico,3,1,1
3773,British Championship,1969-05-07,England,Wales,2,1,1
3774,FIFA World Cup qualification,1969-05-07,Netherlands,Poland,1,0,1
3775,Friendly,1969-05-08,Norway,Mexico,0,2,1
3776,British Championship,1969-05-10,England,Scotland,4,1,1
3777,FIFA World Cup qualification,1969-05-10,Germany,Austria,1,0,1
3778,FIFA World Cup qualification,1969-05-10,Nigeria,Ghana,2,1,1
3779,British Championship,1969-05-10,Northern Ireland,Wales,0,0,1
3780,CONCACAF Championship qualification,1969-05-11,United States,Haiti,0,1,1
3781,FIFA World Cup qualification,1969-05-14,Switzerland,Romania,0,1,1
3782,FIFA World Cup qualification,1969-05-18,Ghana,Nigeria,1,1,1
3783,FIFA World Cup qualification,1969-05-18,Morocco,Tunisia,0,0,1
3784,Friendly,1969-05-20,Mexico,Peru,0,1,1
3785,FIFA World Cup qualification,1969-05-21,Germany,Cyprus,12,0,1
3786,Friendly,1969-05-22,Mexico,Peru,3,0,1
3787,FIFA World Cup qualification,1969-05-27,Denmark,Republic of Ireland,2,0,1
3788,Friendly,1969-05-28,Chile,Argentina,1,1,1
3789,Friendly,1969-06-01,Mexico,England,0,0,1
3790,Friendly,1969-06-03,Mexico,England,0,4,1
3791,Friendly,1969-06-08,Uruguay,England,1,2,1
3792,Friendly,1969-06-11,Argentina,Chile,2,1,1
3793,Friendly,1969-06-12,Brazil,England,2,1,1
3794,FIFA World Cup qualification,1969-06-13,Tunisia,Morocco,2,2,0
3795,FIFA World Cup qualification,1969-06-15,Bulgaria,Poland,4,1,1
3796,FIFA World Cup qualification,1969-06-15,Denmark,Hungary,3,2,1
3797,Friendly,1969-06-22,Ecuador,Colombia,4,1,1
3798,Nordic Championship,1969-06-25,Denmark,Sweden,0,1,1
3799,FIFA World Cup qualification,1969-06-25,Finland,Spain,2,0,1
3800,Friendly,1969-06-27,Peru,Uruguay,1,0,1
3801,African Cup of Nations qualification,1969-06-29,Zambia,Cameroon,2,2,1
3802,African Cup of Nations qualification,1969-06-29,Cameroon,Zambia,2,1,1
3803,Friendly,1969-07-01,Denmark,Bermuda,6,0,1
3804,Friendly,1969-07-02,Colombia,Uruguay,0,1,1
3805,FIFA World Cup qualification,1969-07-06,Ecuador,Uruguay,0,2,1
3806,FIFA World Cup qualification,1969-07-13,Chile,Uruguay,0,0,1
3807,FIFA World Cup qualification,1969-07-20,Uruguay,Ecuador,1,0,1
3808,Friendly,1969-07-21,Congo,Tunisia,4,1,1
3809,Friendly,1969-07-23,Australia,Greece,2,2,1
3810,FIFA World Cup qualification,1969-07-27,Bolivia,Argentina,3,1,1
3811,FIFA World Cup qualification,1969-07-27,Chile,Ecuador,4,1,1
3812,FIFA World Cup qualification,1969-08-03,Ecuador,Chile,1,1,1
3813,FIFA World Cup qualification,1969-08-03,Peru,Argentina,1,0,1
3814,FIFA World Cup qualification,1969-08-06,Colombia,Brazil,0,2,1
3815,FIFA World Cup qualification,1969-08-10,Uruguay,Chile,2,0,1
3816,FIFA World Cup qualification,1969-08-10,Venezuela,Brazil,0,5,1
3817,African Cup of Nations qualification,1969-08-17,Ghana,Niger,6,0,1
3818,FIFA World Cup qualification,1969-08-17,Paraguay,Brazil,0,3,1
3819,FIFA World Cup qualification,1969-08-21,Brazil,Colombia,6,2,1
3820,FIFA World Cup qualification,1969-08-24,Argentina,Bolivia,1,0,1
3821,FIFA World Cup qualification,1969-08-24,Brazil,Venezuela,6,0,1
3822,Friendly,1969-08-27,Poland,Norway,6,1,1
3823,FIFA World Cup qualification,1969-08-31,Argentina,Peru,2,2,1
3824,FIFA World Cup qualification,1969-08-31,Brazil,Paraguay,1,0,1
3825,FIFA World Cup qualification,1969-09-07,Poland,Netherlands,2,1,1
3826,Nordic Championship,1969-09-10,Denmark,Finland,5,2,1
3827,FIFA World Cup qualification,1969-09-10,Norway,France,1,3,1
3828,Friendly,1969-09-13,Iran,Pakistan,4,2,0
3829,Friendly,1969-09-14,El Salvador,Costa Rica,2,1,1
3830,Friendly,1969-09-17,Turkey,Iran,4,0,1
3831,Friendly,1969-09-21,Austria,Germany,1,1,1
3832,FIFA World Cup qualification,1969-09-21,Morocco,Nigeria,2,1,1
3833,African Cup of Nations qualification,1969-09-21,Niger,Ghana,1,9,1
3834,Nordic Championship,1969-09-21,Norway,Denmark,2,0,1
3835,Friendly,1969-09-24,Bulgaria,Germany,0,1,1
3836,Friendly,1969-09-24,Turkey,Switzerland,3,0,1
3837,FIFA World Cup qualification,1969-10-10,Japan,Australia,1,3,0
3838,FIFA World Cup qualification,1969-10-10,Sudan,Morocco,0,0,1
3839,FIFA World Cup qualification,1969-10-12,South Korea,Japan,2,2,1
3840,FIFA World Cup qualification,1969-10-12,Luxembourg,Poland,1,5,1
3841,African Cup of Nations qualification,1969-10-12,Guinea,Senegal,4,3,1
3842,FIFA World Cup qualification,1969-10-12,Romania,Portugal,1,0,1
3843,FIFA World Cup qualification,1969-10-14,South Korea,Australia,1,2,1
3844,FIFA World Cup qualification,1969-10-15,Greece,Switzerland,4,1,1
3845,FIFA World Cup qualification,1969-10-15,Republic of Ireland,Denmark,1,1,1
3846,FIFA World Cup qualification,1969-10-15,Spain,Finland,6,0,1
3847,FIFA World Cup qualification,1969-10-15,Sweden,France,2,0,1
3848,Friendly,1969-10-15,Tunisia,Palestine,1,1,1
3849,FIFA World Cup qualification,1969-10-16,Australia,Japan,1,1,0
3850,FIFA World Cup qualification,1969-10-18,South Korea,Japan,2,0,1
3851,FIFA World Cup qualification,1969-10-19,Yugoslavia,Belgium,4,0,1
3852,FIFA World Cup qualification,1969-10-20,South Korea,Australia,1,1,1
3853,CONCACAF Championship qualification,1969-10-21,Mexico,Bermuda,3,0,1
3854,FIFA World Cup qualification,1969-10-22,Germany,Scotland,3,2,1
3855,FIFA World Cup qualification,1969-10-22,Hungary,Denmark,3,0,1
3856,FIFA World Cup qualification,1969-10-22,Netherlands,Bulgaria,1,1,1
3857,FIFA World Cup qualification,1969-10-22,Wales,German DR,1,3,1
3858,African Cup of Nations qualification,1969-10-26,Senegal,Guinea,1,1,1
3859,FIFA World Cup qualification,1969-10-26,Morocco,Sudan,3,0,1
3860,Friendly,1969-10-30,Algeria,Morocco,1,0,1
3861,FIFA World Cup qualification,1969-11-01,France,Sweden,3,0,1
3862,Merdeka Tournament,1969-11-01,Indonesia,South Korea,3,0,0
3863,CONCACAF Championship qualification,1969-11-02,Bermuda,Mexico,2,1,1
3864,FIFA World Cup qualification,1969-11-02,Switzerland,Portugal,1,1,1
3865,Merdeka Tournament,1969-11-03,Malaysia,South Korea,4,1,1
3866,FIFA World Cup qualification,1969-11-04,Italy,Wales,4,1,1
3867,Friendly,1969-11-05,Mexico,Belgium,1,0,1
3868,Friendly,1969-11-05,Netherlands,England,0,1,1
3869,Merdeka Tournament,1969-11-05,South Korea,Thailand,3,0,0
3870,Merdeka Tournament,1969-11-06,South Korea,Western Australia,3,2,0
3871,Merdeka Tournament,1969-11-07,South Korea,Thailand,2,1,0
3872,FIFA World Cup qualification,1969-11-08,Nigeria,Morocco,2,0,1
3873,Friendly,1969-11-09,Ivory Coast,Morocco,1,0,1
3874,FIFA World Cup qualification,1969-11-09,Poland,Bulgaria,3,0,1
3875,Friendly,1969-11-11,Mexico,Norway,4,0,1
3876,Friendly,1969-11-18,Iraq,Poland,1,1,1
3877,King's Cup,1969-11-19,South Korea,Laos,2,0,0
3878,King's Cup,1969-11-21,South Korea,Malaysia,2,0,0
3879,King's Cup,1969-11-23,Thailand,South Korea,0,0,1
3880,FIFA World Cup qualification,1969-11-23,Zimbabwe,Australia,1,1,0
3881,CONCACAF Championship,1969-11-23,Costa Rica,Jamaica,3,0,1
3882,King's Cup,1969-11-26,South Korea,Vietnam Republic,3,0,0
3883,FIFA World Cup qualification,1969-11-27,Australia,Zimbabwe,0,0,0
3884,CONCACAF Championship,1969-11-27,Costa Rica,Cura̤ao,2,1,1
3885,CONCACAF Championship,1969-11-27,Jamaica,Mexico,0,2,0
3886,CONCACAF Championship,1969-11-27,Mexico,Jamaica,2,0,0
3887,King's Cup,1969-11-28,Indonesia,South Korea,0,1,0
3888,FIFA World Cup qualification,1969-11-29,Zimbabwe,Australia,1,3,0
3889,CONCACAF Championship,1969-11-30,Costa Rica,Mexico,2,0,1
3890,CONCACAF Championship,1969-12-02,Mexico,Guatemala,0,1,0
3891,CONCACAF Championship,1969-12-04,Costa Rica,Trinidad and Tobago,5,0,1
3892,FIFA World Cup qualification,1969-12-04,Israel,Australia,1,0,1
3893,CONCACAF Championship,1969-12-04,Mexico,Cura̤ao,2,2,0
3894,CONCACAF Championship,1969-12-07,Mexico,Trinidad and Tobago,0,0,0
3895,CONCACAF Championship,1969-12-07,Costa Rica,Guatemala,1,1,1
3896,Friendly,1969-12-10,England,Portugal,1,0,1
3897,FIFA World Cup qualification,1969-12-14,Australia,Israel,1,1,1
3898,Friendly,1969-12-28,Morocco,Bulgaria,3,0,1
3899,Friendly,1970-01-14,England,Netherlands,0,0,1
3900,Friendly,1970-01-28,Israel,Netherlands,0,1,1
3901,African Cup of Nations,1970-02-06,Cameroon,Ivory Coast,3,2,0
3902,African Cup of Nations,1970-02-07,DR Congo,Ghana,0,2,0
3903,African Cup of Nations,1970-02-08,Cameroon,Ethiopia,3,2,0
3904,African Cup of Nations,1970-02-09,Egypt,Ghana,1,1,0
3905,African Cup of Nations,1970-02-10,Sudan,Cameroon,2,1,1
3906,African Cup of Nations,1970-02-11,Ghana,Guinea,1,1,0
3907,Friendly,1970-02-11,Spain,Germany,2,0,1
3908,African Cup of Nations,1970-02-14,Ghana,Ivory Coast,2,1,0
3909,Friendly,1970-02-15,Mexico,Bulgaria,1,1,1
3910,African Cup of Nations,1970-02-16,Sudan,Ghana,1,0,1
3911,Friendly,1970-02-18,Mexico,Bulgaria,2,0,1
3912,Friendly,1970-02-21,Spain,Italy,2,2,1
3913,Friendly,1970-02-22,Mexico,Sweden,0,0,1
3914,Friendly,1970-02-25,Belgium,England,1,3,1
3915,Friendly,1970-02-26,Costa Rica,El Salvador,2,0,1
3916,Friendly,1970-02-26,Mexico,Russia,0,0,1
3917,Friendly,1970-03-01,Mexico,Sweden,0,1,1
3918,Friendly,1970-03-04,Brazil,Argentina,0,2,1
3919,Friendly,1970-03-05,Peru,Mexico,0,1,1
3920,Friendly,1970-03-08,Brazil,Argentina,2,1,1
3921,Friendly,1970-03-08,Peru,Mexico,1,0,1
3922,Friendly,1970-03-15,Mexico,Peru,3,1,1
3923,Friendly,1970-03-18,Mexico,Peru,3,3,1
3924,Friendly,1970-03-22,Brazil,Chile,5,0,1
3925,Friendly,1970-03-26,Brazil,Chile,2,1,1
3926,Gulf Cup,1970-03-27,Bahrain,Qatar,2,1,1
3927,Gulf Cup,1970-03-28,Saudi Arabia,Kuwait,1,3,0
3928,Gulf Cup,1970-03-30,Bahrain,Saudi Arabia,0,0,1
3929,Gulf Cup,1970-03-31,Kuwait,Qatar,4,2,0
3930,Friendly,1970-03-31,Uruguay,Peru,2,0,1
3931,Gulf Cup,1970-04-02,Saudi Arabia,Qatar,1,1,0
3932,Friendly,1970-04-08,Argentina,Uruguay,2,1,1
3933,Friendly,1970-04-08,France,Bulgaria,1,1,1
3934,Friendly,1970-04-08,Germany,Romania,1,1,1
3935,Friendly,1970-04-12,Brazil,Paraguay,0,0,1
3936,Friendly,1970-04-15,Ghana,Ivory Coast,3,0,1
3937,Friendly,1970-04-15,Uruguay,Argentina,2,1,1
3938,British Championship,1970-04-18,Wales,England,1,1,1
3939,Friendly,1970-04-19,Ghana,Ivory Coast,1,1,1
3940,British Championship,1970-04-21,England,Northern Ireland,3,1,1
3941,British Championship,1970-04-22,Scotland,Wales,0,0,1
3942,Friendly,1970-04-22,Switzerland,Spain,0,1,1
3943,British Championship,1970-04-25,Scotland,England,0,0,1
3944,British Championship,1970-04-25,Wales,Northern Ireland,1,0,1
3945,Friendly,1970-04-28,France,Romania,2,0,1
3946,Friendly,1970-04-29,Brazil,Austria,1,0,1
3947,Friendly,1970-04-29,Mexico,Ecuador,4,2,1
